date,price_y,price_x,ln_x,ln_y,residual,std,position_x,position_y,profit_x,profit_y,coef
2018-09-04 09:30:00,210.86800231933594,69.90272111530545,4.2471045771702665,5.351232356293413,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:30:30,210.44000244140625,69.57123268424691,4.242351158396471,5.349200588464043,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:31:00,210.30500030517578,69.68206546617591,4.243942974271631,5.348558859435856,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:31:30,209.9805189987709,69.73763174759713,4.244740082362866,5.347014759741855,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:32:00,209.76550102233887,69.74590937296549,4.2448587719991,5.345990244987773,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:32:30,209.67886967812814,69.66149940490723,4.243647789324453,5.3455771683011175,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:33:00,209.84042881556917,69.67277696397569,4.243809667067489,5.3463473790924105,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:33:30,209.93428511846633,69.62767948423112,4.243162182020132,5.34679455373798,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:34:00,209.68804467242697,69.54853788236292,4.242024895608762,5.345620924706243,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:34:30,209.4459976196289,69.61927337646485,4.243041445334642,5.3444659382089315,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:35:00,209.35000038146973,69.68679023856546,4.244010776685125,5.344007494287315,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:35:30,209.23588382496553,69.66923211904673,4.243758787294001,5.343462246281412,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:36:00,209.25571804954893,69.71156287193298,4.244366198870187,5.343557035397893,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:36:30,209.33486757780378,69.68958218892416,4.2440508401522745,5.34393520696656,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:37:00,209.65000025431317,69.67627542283799,4.243859878515692,5.345439474829808,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:37:30,209.66540664922996,69.67377619840661,4.243824008784715,5.345512958392159,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:38:00,209.47088219137754,69.70874977111816,4.2443258446239245,5.344584742549253,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:38:30,209.58926633509193,69.73316688537597,4.244676056598815,5.345149740902258,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:39:00,209.690378511869,69.69558828017291,4.244137019926382,5.345632054699171,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:39:30,209.78993508982103,69.69730699979343,4.244161680001303,5.346106720978342,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:40:00,209.8162076005312,69.6845198330814,4.243978196012918,5.346231945602443,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:40:30,209.79036656821648,69.6424538954249,4.243374351146286,5.346108777692605,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:41:00,209.87758847891567,69.67411142985026,4.243828820216727,5.346524448753051,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:41:30,209.88347758417547,69.70882910870492,4.244326982752809,5.34655250807411,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:42:00,209.83125114440918,69.65880966186523,4.243609176963336,5.34630364170626,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:42:30,209.60687255859375,69.60292574254478,4.242806602987679,5.3452337408339305,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:43:00,209.49833297729492,69.61868326287521,4.243032969002414,5.344715782181584,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:43:30,209.42821448189872,69.65725002288818,4.243586787025224,5.344381029005992,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:44:00,209.2704551003196,69.71346282958984,4.244393453054254,5.343627458954278,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:44:30,209.20999908447266,69.74474868774413,4.244842130236311,5.343338527819441,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:45:00,209.0866668701172,69.7486601108458,4.244898210636616,5.342748840031001,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:45:30,209.12636427445847,69.75829250056569,4.24503630253175,5.342938683012946,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:46:00,209.0105680985884,69.7564379915278,4.245009717395808,5.3423848157514575,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:46:30,208.76142828805106,69.72690627688453,4.244586273073629,5.341192108522506,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:47:00,208.88846118633563,69.73052266818374,4.244638136804767,5.341800430973456,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:47:30,209.06545118852097,69.70374941825867,4.244254109981899,5.342647366520771,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:48:00,208.97500228881836,69.73695336318599,4.2447303546492385,5.342214638537814,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:48:30,209.0133293999566,69.77242791312082,4.245238916157789,5.342398026964427,0.0,0.0,0.0,0,0.0,0.0,0
2018-09-04 09:49:00,209.0133293999566,69.77724895477294,4.245308010429625,5.342398026964427,0.0,0.0,0.0,0,0.0,0.0,0
