date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,KO,MMM
2018-09-04 09:30:00,228.13262679611427,106.14776664084576,341.7900085449219,138.41683489481608,47.85372864474013,118.84111071389819,111.82178497314453,69.90272111530545,44.57830057144165,210.86800231933594
2018-09-04 09:30:30,228.19056087930264,106.23437452316284,341.55369902310304,138.6646406991141,47.79538601428479,118.68031358718872,111.84700012207031,69.57123268424691,44.56559420440156,210.44000244140625
2018-09-04 09:31:00,228.55569029969055,106.22699890136718,341.7969998168945,138.36346435546875,47.843667305840384,118.72000071207682,111.81360466535702,69.68206546617591,44.54592567019992,210.30500030517578
2018-09-04 09:31:30,228.72191654887177,106.23349990844727,341.55807319054236,138.01187467575073,47.87485446744752,118.73029260074391,111.69875087738038,69.73763174759713,44.54166666666667,209.9805189987709
2018-09-04 09:32:00,228.78708577409165,106.09199905395508,341.28911100115096,137.95240811948423,47.88931337553879,118.78431828816733,111.58880996704102,69.74590937296549,44.52153233558901,209.76550102233887
2018-09-04 09:32:30,228.63566125373484,106.04200000762938,341.19141632655885,138.07900142669678,47.845096884421935,118.76608674422553,111.51102623572717,69.66149940490723,44.540000048550695,209.67886967812814
2018-09-04 09:33:00,228.48289105149567,106.01153901907114,341.2810596666838,138.1730429607889,47.81660500184737,118.95068237998268,111.48441337136661,69.67277696397569,44.54468949635823,209.84042881556917
2018-09-04 09:33:30,228.45400013209542,106.01861927427095,341.6610046386719,138.15958213806152,47.90719368766709,119.04928643362862,111.439344625004,69.62767948423112,44.59775582138373,209.93428511846633
2018-09-04 09:34:00,228.488703788595,105.88821492876326,341.65854489224625,137.9316665649414,47.953739147741814,118.96779408174402,111.30777825249567,69.54853788236292,44.61452356974284,209.68804467242697
2018-09-04 09:34:30,228.47994114510453,105.8218731880188,341.58904988056906,137.86666870117188,47.94731115525769,119.06565243264903,111.28081048501505,69.61927337646485,44.605615850997296,209.4459976196289
2018-09-04 09:35:00,228.21336046088652,105.84863558682528,341.85650024414065,137.76241223565464,47.938309091917226,119.25076924837552,111.31499967575073,69.68679023856546,44.60182571411133,209.35000038146973
2018-09-04 09:35:30,227.561097444409,105.8327768113878,342.011570551624,137.79913131050444,47.894397613850046,119.3253625349565,111.16745933157499,69.66923211904673,44.6275537369099,209.23588382496553
2018-09-04 09:36:00,227.54919655895458,105.82187461853027,342.1203842163086,137.60277896457248,47.913104426476266,119.37562465667725,110.91464589881065,69.71156287193298,44.62281542316849,209.25571804954893
2018-09-04 09:36:30,227.7313344027545,105.81449928283692,342.0813481257512,137.6481829556552,47.91971930387978,119.51858595143193,110.81074385947369,69.68958218892416,44.63080980598582,209.33486757780378
2018-09-04 09:37:00,227.72462170852899,105.87799911499023,341.7913151791221,137.65987935880335,47.929924069028914,119.47423805624751,110.86124912897745,69.67627542283799,44.633678553055745,209.65000025431317
2018-09-04 09:37:30,227.8052189911542,105.8982359942268,341.8531982421875,137.52691123064827,47.973962759821674,119.3552375066848,110.91206899182549,69.67377619840661,44.65068817138672,209.66540664922996
2018-09-04 09:38:00,227.68838348388672,105.87863575328481,341.9349956512451,137.53342277125307,47.963811996655586,119.3546142578125,110.91844034194946,69.70874977111816,44.66931712988651,209.47088219137754
2018-09-04 09:38:30,227.73290700604838,105.92416763305664,341.730782759817,137.51607077462333,47.95900011062622,119.39469655354819,110.98727312954989,69.73316688537597,44.6871241569519,209.58926633509193
2018-09-04 09:39:00,227.52307509270267,105.89392852783203,341.26039685701073,137.51342599051338,47.9168542141946,119.4468085106383,110.97679992675782,69.69558828017291,44.66007875457524,209.690378511869
2018-09-04 09:39:30,227.1203000316881,105.80999946594238,340.81629802562577,137.5124989827474,47.847289629071675,119.42879974365235,110.85625012715658,69.69730699979343,44.643824359020556,209.78993508982103
2018-09-04 09:40:00,226.93373691697835,105.85294095207664,340.639107295445,137.4889292035784,47.82324266144724,119.49253517473247,110.82487125885793,69.6845198330814,44.63750055858067,209.8162076005312
2018-09-04 09:40:30,226.83405168921547,105.78124904632568,340.49617767333984,137.4621751204781,47.77176401194404,119.55342864990234,110.83238874976314,69.6424538954249,44.63151567632502,209.79036656821648
2018-09-04 09:41:00,226.7871526179423,105.79499912261963,340.4744423760308,137.4881803339178,47.762031471336286,119.51900089808873,110.86185073852539,69.67411142985026,44.60999971277573,209.87758847891567
2018-09-04 09:41:30,226.99108535399552,105.74950046539306,340.5396718343099,137.48277418348522,47.73958317438762,119.43771460396903,110.74500003937752,69.70882910870492,44.5930838889264,209.88347758417547
2018-09-04 09:42:00,227.08894459056432,105.69921051828484,339.89466050091914,137.39750003814697,47.729675714071696,119.30208396911621,110.76500058174133,69.65880966186523,44.57729617884902,209.83125114440918
2018-09-04 09:42:30,227.11858751287508,105.69937515258789,339.7251804896763,137.32964433942522,47.73749923706055,119.32217423812202,110.84500083923339,69.60292574254478,44.57364718119304,209.60687255859375
2018-09-04 09:43:00,227.23651966159628,105.70690354846772,340.1058834300322,137.35727483575994,47.72413986351839,119.22954524647105,110.80035591125488,69.61868326287521,44.56549025516884,209.49833297729492
2018-09-04 09:43:30,227.4724462971543,105.7076187133789,340.3622224595812,137.48683630062055,47.73779575799101,119.22125053405762,110.8597048591165,69.65725002288818,44.56928634643555,209.42821448189872
2018-09-04 09:44:00,227.46594319199073,105.67249965667725,340.51610819498694,137.57964052472795,47.71671545625937,119.26411707261029,110.84624886512756,69.71346282958984,44.57222295690465,209.2704551003196
